verb,english,tense,yo,tu,el_ella,nosotros,vosotros,ellos_ellas
ser,to be,present,soy,eres,es,somos,sois,son
ser,to be,preterite,fui,fuiste,fue,fuimos,fuisteis,fueron
ser,to be,imperfect,era,eras,era,éramos,erais,eran
ser,to be,future,seré,serás,será,seremos,seréis,serán
ser,to be,conditional,sería,serías,sería,seríamos,seríais,serían
ser,to be,subjunctive,sea,seas,sea,seamos,seáis,sean
estar,to be,present,estoy,estás,está,estamos,estáis,están
estar,to be,preterite,estuve,estuviste,estuvo,estuvimos,estuvisteis,estuvieron
estar,to be,imperfect,estaba,estabas,estaba,estábamos,estabais,estaban
estar,to be,future,estaré,estarás,estará,estaremos,estaréis,estarán
estar,to be,conditional,estaría,estarías,estaría,estaríamos,estaríais,estarían
estar,to be,subjunctive,esté,estés,esté,estemos,estéis,estén
tener,to have,present,tengo,tienes,tiene,tenemos,tenéis,tienen
tener,to have,preterite,tuve,tuviste,tuvo,tuvimos,tuvisteis,tuvieron
tener,to have,imperfect,tenía,tenías,tenía,teníamos,teníais,tenían
tener,to have,future,tendré,tendrás,tendrá,tendremos,tendréis,tendrán
tener,to have,conditional,tendría,tendrías,tendría,tendríamos,tendríais,tendrían
tener,to have,subjunctive,tenga,tengas,tenga,tengamos,tengáis,tengan
hacer,to do/make,present,hago,haces,hace,hacemos,hacéis,hacen
hacer,to do/make,preterite,hice,hiciste,hizo,hicimos,hicisteis,hicieron
hacer,to do/make,imperfect,hacía,hacías,hacía,hacíamos,hacíais,hacían
hacer,to do/make,future,haré,harás,hará,haremos,haréis,harán
hacer,to do/make,conditional,haría,harías,haría,haríamos,haríais,harían
hacer,to do/make,subjunctive,haga,hagas,haga,hagamos,hagáis,hagan
ir,to go,present,voy,vas,va,vamos,vais,van
ir,to go,preterite,fui,fuiste,fue,fuimos,fuisteis,fueron
ir,to go,imperfect,iba,ibas,iba,íbamos,ibais,iban
ir,to go,future,iré,irás,irá,iremos,iréis,irán
ir,to go,conditional,iría,irías,iría,iríamos,iríais,irían
ir,to go,subjunctive,vaya,vayas,vaya,vayamos,vayáis,vayan
poder,can/to be able,present,puedo,puedes,puede,podemos,podéis,pueden
poder,can/to be able,preterite,pude,pudiste,pudo,pudimos,pudisteis,pudieron
poder,can/to be able,imperfect,podía,podías,podía,podíamos,podíais,podían
poder,can/to be able,future,podré,podrás,podrá,podremos,podréis,podrán
poder,can/to be able,conditional,podría,podrías,podría,podríamos,podríais,podrían
poder,can/to be able,subjunctive,pueda,puedas,pueda,podamos,podáis,puedan
decir,to say/tell,present,digo,dices,dice,decimos,decís,dicen
decir,to say/tell,preterite,dije,dijiste,dijo,dijimos,dijisteis,dijeron
decir,to say/tell,imperfect,decía,decías,decía,decíamos,decíais,decían
decir,to say/tell,future,diré,dirás,dirá,diremos,diréis,dirán
decir,to say/tell,conditional,diría,dirías,diría,diríamos,diríais,dirían
decir,to say/tell,subjunctive,diga,digas,diga,digamos,digáis,digan
dar,to give,present,doy,das,da,damos,dais,dan
dar,to give,preterite,di,diste,dio,dimos,disteis,dieron
dar,to give,imperfect,daba,dabas,daba,dábamos,dabais,daban
dar,to give,future,daré,darás,dará,daremos,daréis,darán
dar,to give,conditional,daría,darías,daría,daríamos,daríais,darían
dar,to give,subjunctive,dé,des,dé,demos,deis,den
ver,to see,present,veo,ves,ve,vemos,veis,ven
ver,to see,preterite,vi,viste,vio,vimos,visteis,vieron
ver,to see,imperfect,veía,veías,veía,veíamos,veíais,veían
ver,to see,future,veré,verás,verá,veremos,veréis,verán
ver,to see,conditional,vería,verías,vería,veríamos,veríais,verían
ver,to see,subjunctive,vea,veas,vea,veamos,veáis,vean
saber,to know,present,sé,sabes,sabe,sabemos,sabéis,saben
saber,to know,preterite,supe,supiste,supo,supimos,supisteis,supieron
saber,to know,imperfect,sabía,sabías,sabía,sabíamos,sabíais,sabían
saber,to know,future,sabré,sabrás,sabrá,sabremos,sabréis,sabrán
saber,to know,conditional,sabría,sabrías,sabría,sabríamos,sabríais,sabrían
saber,to know,subjunctive,sepa,sepas,sepa,sepamos,sepáis,sepan
querer,to want/love,present,quiero,quieres,quiere,queremos,queréis,quieren
querer,to want/love,preterite,quise,quisiste,quiso,quisimos,quisisteis,quisieron
querer,to want/love,imperfect,quería,querías,quería,queríamos,queríais,querían
querer,to want/love,future,querré,querrás,querrá,querremos,querréis,querrán
querer,to want/love,conditional,querría,querrías,querría,querríamos,querríais,querrían
querer,to want/love,subjunctive,quiera,quieras,quiera,queramos,queráis,quieran
llegar,to arrive,present,llego,llegas,llega,llegamos,llegáis,llegan
llegar,to arrive,preterite,llegué,llegaste,llegó,llegamos,llegasteis,llegaron
llegar,to arrive,imperfect,llegaba,llegabas,llegaba,llegábamos,llegabais,llegaban
llegar,to arrive,future,llegaré,llegarás,llegará,llegaremos,llegaréis,llegarán
llegar,to arrive,conditional,llegaría,llegarías,llegaría,llegaríamos,llegaríais,llegarían
llegar,to arrive,subjunctive,llegue,llegues,llegue,lleguemos,lleguéis,lleguen
poner,to put,present,pongo,pones,pone,ponemos,ponéis,ponen
poner,to put,preterite,puse,pusiste,puso,pusimos,pusisteis,pusieron
poner,to put,imperfect,ponía,ponías,ponía,poníamos,poníais,ponían
poner,to put,future,pondré,pondrás,pondrá,pondremos,pondréis,pondrán
poner,to put,conditional,pondría,pondrías,pondría,pondríamos,pondríais,pondrían
poner,to put,subjunctive,ponga,pongas,ponga,pongamos,pongáis,pongan
parecer,to seem,present,parezco,pareces,parece,parecemos,parecéis,parecen
parecer,to seem,preterite,parecí,pareciste,pareció,parecimos,parecisteis,parecieron
parecer,to seem,imperfect,parecía,parecías,parecía,parecíamos,parecíais,parecían
parecer,to seem,future,pareceré,parecerás,parecerá,pareceremos,pareceréis,parecerán
parecer,to seem,conditional,parecería,parecerías,parecería,pareceríamos,pareceríais,parecerían
parecer,to seem,subjunctive,parezca,parezcas,parezca,parezcamos,parezcáis,parezcan
deber,should/must,present,debo,debes,debe,debemos,debéis,deben
deber,should/must,preterite,debí,debiste,debió,debimos,debisteis,debieron
deber,should/must,imperfect,debía,debías,debía,debíamos,debíais,debían
deber,should/must,future,deberé,deberás,deberá,deberemos,deberéis,deberán
deber,should/must,conditional,debería,deberías,debería,deberíamos,deberíais,deberían
deber,should/must,subjunctive,deba,debas,deba,debamos,debáis,deban
creer,to believe,present,creo,crees,cree,creemos,creéis,creen
creer,to believe,preterite,creí,creíste,creyó,creímos,creísteis,creyeron
creer,to believe,imperfect,creía,creías,creía,creíamos,creíais,creían
creer,to believe,future,creeré,creerás,creerá,creeremos,creeréis,creerán
creer,to believe,conditional,creería,creerías,creería,creeríamos,creeríais,creerían
creer,to believe,subjunctive,crea,creas,crea,creamos,creáis,crean
